iter	Passed	Remaining
0	55	55141
1	55	27686
2	55	18528
3	56	13971
4	56	11269
5	57	9456
6	57	8158
7	57	7186
8	58	6426
9	58	5825
10	59	5331
11	59	4921
12	60	4570
13	60	4267
14	61	4008
15	61	3777
16	61	3576
17	62	3395
18	62	3231
19	62	3083
20	63	2955
21	63	2839
22	64	2733
23	64	2633
24	65	2541
25	65	2457
26	66	2380
27	66	2308
28	66	2240
29	70	2268
30	70	2203
31	70	2142
32	71	2085
33	71	2033
34	71	1982
35	72	1936
36	72	1893
37	73	1853
38	73	1812
39	73	1772
40	74	1735
41	74	1703
42	75	1672
43	75	1642
44	76	1613
45	76	1584
46	76	1557
47	77	1532
48	77	1507
49	78	1483
50	78	1460
51	78	1437
52	79	1417
53	79	1396
54	80	1376
55	80	1357
56	80	1339
57	81	1320
58	81	1303
59	82	1287
60	82	1270
61	82	1255
62	83	1240
63	83	1225
64	84	1211
65	84	1196
66	85	1184
67	85	1167
68	85	1155
69	86	1143
70	86	1132
71	86	1118
72	87	1105
73	87	1092
74	87	1079
75	87	1067
76	88	1055
77	88	1044
78	88	1032
79	88	1021
80	89	1010
81	89	1000
82	89	989
83	89	979
84	90	969
85	90	959
86	90	949
87	90	940
88	90	931
89	91	922
90	91	912
91	91	904
92	91	895
93	92	886
94	92	878
95	92	870
96	92	862
97	92	854
98	93	847
99	93	839
100	93	832
101	93	824
102	93	816
103	94	810
104	94	803
105	94	797
106	94	790
107	94	784
108	95	778
109	95	771
110	95	765
111	95	759
112	96	753
113	96	748
114	96	743
115	96	737
116	97	732
117	97	727
118	97	721
119	97	716
120	97	711
121	98	706
122	98	700
123	98	696
124	98	692
125	99	688
126	99	684
127	99	679
128	99	674
129	100	670
130	100	665
131	100	661
132	100	657
133	101	652
134	101	648
135	101	644
136	101	640
137	101	635
138	102	632
139	102	628
140	102	624
141	102	620
142	102	616
143	103	612
144	103	609
145	103	605
146	103	602
147	104	598
148	104	595
149	104	591
150	104	588
151	104	584
152	105	581
153	105	578
154	105	574
155	105	571
156	105	568
157	106	565
158	106	562
159	106	559
160	106	556
161	107	553
162	107	551
163	107	548
164	107	545
165	108	542
166	108	539
167	108	537
168	108	534
169	108	531
170	109	529
171	109	526
172	109	524
173	109	521
174	110	519
175	110	516
176	110	514
177	110	512
178	111	509
179	111	507
180	111	504
181	111	501
182	111	499
183	112	496
184	112	494
185	112	492
186	112	490
187	113	488
188	113	486
189	113	484
190	113	482
191	114	480
192	114	478
193	114	476
194	114	474
195	115	472
196	115	470
197	115	468
198	115	466
199	116	464
200	116	462
201	116	460
202	116	458
203	116	456
204	117	454
205	117	452
206	117	450
207	117	448
208	118	446
209	118	444
210	118	442
211	118	441
212	118	439
213	119	437
214	119	435
215	119	433
216	119	432
217	119	430
218	120	428
219	120	426
220	120	424
221	120	423
222	120	421
223	121	419
224	121	418
225	121	416
226	121	415
227	122	413
228	122	411
229	122	410
230	122	408
231	122	407
232	123	405
233	123	404
234	123	403
235	124	401
236	124	400
237	124	399
238	124	397
239	125	396
240	125	395
241	125	393
242	126	392
243	126	391
244	126	389
245	126	388
246	126	386
247	127	385
248	127	383
249	127	382
250	127	380
251	127	379
252	128	378
253	128	377
254	128	375
255	128	374
256	129	373
257	129	372
258	129	371
259	130	370
260	130	369
261	130	368
262	130	366
263	131	365
264	131	364
265	131	363
266	132	364
267	132	363
268	133	361
269	133	360
270	133	359
271	133	358
272	134	357
273	134	356
274	134	355
275	134	353
276	135	352
277	135	351
278	135	350
279	136	349
280	136	348
281	136	347
282	137	347
283	137	346
284	137	344
285	137	343
286	137	342
287	138	341
288	138	340
289	138	339
290	138	338
291	139	337
292	139	335
293	139	334
294	139	333
295	139	332
296	140	331
297	140	330
298	140	329
299	140	328
300	141	327
301	141	326
302	141	325
303	141	324
304	141	323
305	142	322
306	142	321
307	142	320
308	143	320
309	143	319
310	143	318
311	143	317
312	144	316
313	144	315
314	144	314
315	145	314
316	145	313
317	145	312
318	145	311
319	146	310
320	146	309
321	146	308
322	146	307
323	146	306
324	147	305
325	147	304
326	147	303
327	147	303
328	148	302
329	148	301
330	148	300
331	148	299
332	148	298
333	149	297
334	149	296
335	149	295
336	149	295
337	150	294
338	150	293
339	150	292
340	150	291
341	151	290
342	151	289
343	151	289
344	151	288
345	152	287
346	152	286
347	152	285
348	152	284
349	152	284
350	153	283
351	153	282
352	153	281
353	153	280
354	154	279
355	154	279
356	154	278
357	154	277
358	155	276
359	155	276
360	155	275
361	155	274
362	156	273
363	156	273
364	156	272
365	156	271
366	156	270
367	157	269
368	157	269
369	157	268
370	157	267
371	158	266
372	158	266
373	158	265
374	158	264
375	158	263
376	159	262
377	159	262
378	159	261
379	159	260
380	160	259
381	160	259
382	160	258
383	160	257
384	160	257
385	161	256
386	161	255
387	161	254
388	161	254
389	162	253
390	162	252
391	162	252
392	162	251
393	163	250
394	163	250
395	163	249
396	163	248
397	163	247
398	164	247
399	164	246
400	164	245
401	164	245
402	164	244
403	165	243
404	165	243
405	165	242
406	165	241
407	166	241
408	166	240
409	166	239
410	166	238
411	166	238
412	167	237
413	167	236
414	167	236
415	167	235
416	168	234
417	168	234
418	168	233
419	168	232
420	168	232
421	169	231
422	169	230
423	169	230
424	169	229
425	170	229
426	170	228
427	170	228
428	170	227
429	171	226
430	171	226
431	171	225
432	172	225
433	172	224
434	172	224
435	172	223
436	172	222
437	173	222
438	173	221
439	173	221
440	174	220
441	174	219
442	174	219
443	174	218
444	175	218
445	175	217
446	175	217
447	175	216
448	176	215
449	176	215
450	176	214
451	176	214
452	177	213
453	177	213
454	177	212
455	177	212
456	178	211
457	178	211
458	178	210
459	178	209
460	179	209
461	179	208
462	179	208
463	179	207
464	179	207
465	180	206
466	180	205
467	180	205
468	181	204
469	181	204
470	181	203
471	181	203
472	182	202
473	182	202
474	182	201
475	182	201
476	183	200
477	183	200
478	183	199
479	183	199
480	184	198
481	184	198
482	184	197
483	184	197
484	185	196
485	185	196
486	185	195
487	185	195
488	186	194
489	186	193
490	186	193
491	186	192
492	187	192
493	187	191
494	187	191
495	187	190
496	188	190
497	188	189
498	188	189
499	188	188
500	189	188
501	189	187
502	189	187
503	189	186
504	190	186
505	190	185
506	190	185
507	190	184
508	191	184
509	191	183
510	191	183
511	191	182
512	192	182
513	192	181
514	192	181
515	192	180
516	192	180
517	193	179
518	193	179
519	193	178
520	193	178
521	194	177
522	194	177
523	194	176
524	194	176
525	194	175
526	195	175
527	195	174
528	195	174
529	195	173
530	195	173
531	196	172
532	196	172
533	196	171
534	196	171
535	196	170
536	197	169
537	197	169
538	197	168
539	197	168
540	197	167
541	198	167
542	198	166
543	198	166
544	198	165
545	198	165
546	199	164
547	199	164
548	199	163
549	199	163
550	199	162
551	200	162
552	200	161
553	200	161
554	200	160
555	200	160
556	201	159
557	201	159
558	201	159
559	201	158
560	202	158
561	202	157
562	202	157
563	203	156
564	203	156
565	203	156
566	203	155
567	204	155
568	204	154
569	204	154
570	204	153
571	205	153
572	205	152
573	205	152
574	205	152
575	206	151
576	206	151
577	206	150
578	206	150
579	206	149
580	207	149
581	207	148
582	207	148
583	207	148
584	208	147
585	208	147
586	208	146
587	208	146
588	208	145
589	209	145
590	209	144
591	209	144
592	209	144
593	210	143
594	210	143
595	210	142
596	210	142
597	210	141
598	211	141
599	211	140
600	211	140
601	211	140
602	212	139
603	212	139
604	212	138
605	212	138
606	213	137
607	213	137
608	213	137
609	213	136
610	213	136
611	214	135
612	214	135
613	214	134
614	214	134
615	215	134
616	215	133
617	215	133
618	216	133
619	216	132
620	216	132
621	216	131
622	217	131
623	217	130
624	217	130
625	217	130
626	218	129
627	218	129
628	218	128
629	218	128
630	218	128
631	219	127
632	219	127
633	219	126
634	219	126
635	220	125
636	220	125
637	220	125
638	220	124
639	221	124
640	221	123
641	221	123
642	221	123
643	222	122
644	222	122
645	222	121
646	222	121
647	222	121
648	223	120
649	223	120
650	223	119
651	223	119
652	224	119
653	224	118
654	224	118
655	224	117
656	225	117
657	225	117
658	225	116
659	225	116
660	225	115
661	226	115
662	226	115
663	226	114
664	226	114
665	227	113
666	227	113
667	227	113
668	227	112
669	227	112
670	228	111
671	228	111
672	228	111
673	229	110
674	229	110
675	229	109
676	229	109
677	230	109
678	230	108
679	230	108
680	230	108
681	231	107
682	231	107
683	231	106
684	231	106
685	232	106
686	232	105
687	232	105
688	232	105
689	232	104
690	233	104
691	233	104
692	234	103
693	234	103
694	234	102
695	234	102
696	235	102
697	235	101
698	235	101
699	235	101
700	236	100
701	236	100
702	236	99
703	236	99
704	237	99
705	237	98
706	237	98
707	237	98
708	238	97
709	238	97
710	238	96
711	238	96
712	239	96
713	239	95
714	239	95
715	239	95
716	239	94
717	240	94
718	240	93
719	240	93
720	240	93
721	241	92
722	241	92
723	241	92
724	242	91
725	242	91
726	242	91
727	242	90
728	243	90
729	243	89
730	243	89
731	243	89
732	244	88
733	244	88
734	244	88
735	244	87
736	245	87
737	245	87
738	245	86
739	245	86
740	246	85
741	246	85
742	246	85
743	246	84
744	246	84
745	247	84
746	247	83
747	247	83
748	248	83
749	248	82
750	248	82
751	248	82
752	249	81
753	249	81
754	249	81
755	249	80
756	250	80
757	250	79
758	250	79
759	250	79
760	251	78
761	251	78
762	251	78
763	251	77
764	251	77
765	252	77
766	252	76
767	252	76
768	252	75
769	253	75
770	253	75
771	253	74
772	253	74
773	253	74
774	254	73
775	254	73
776	254	73
777	254	72
778	255	72
779	255	72
780	255	71
781	255	71
782	255	70
783	256	70
784	256	70
785	256	69
786	256	69
787	257	69
788	257	68
789	257	68
790	257	68
791	258	67
792	258	67
793	258	67
794	258	66
795	259	66
796	259	66
797	259	65
798	260	65
799	260	65
800	260	64
801	260	64
802	261	64
803	261	63
804	261	63
805	261	63
806	261	62
807	262	62
808	262	61
809	262	61
810	263	61
811	263	60
812	263	60
813	263	60
814	263	59
815	264	59
816	264	59
817	264	58
818	264	58
819	265	58
820	265	57
821	265	57
822	265	57
823	266	56
824	266	56
825	266	56
826	266	55
827	267	55
828	267	55
829	267	54
830	267	54
831	268	54
832	268	53
833	268	53
834	268	53
835	269	52
836	269	52
837	269	52
838	269	51
839	270	51
840	270	51
841	270	50
842	270	50
843	270	50
844	271	49
845	271	49
846	271	49
847	271	48
848	271	48
849	272	48
850	272	47
851	272	47
852	272	47
853	273	46
854	273	46
855	273	46
856	273	45
857	273	45
858	274	44
859	274	44
860	274	44
861	274	43
862	274	43
863	275	43
864	275	42
865	275	42
866	275	42
867	276	42
868	276	41
869	276	41
870	276	41
871	277	40
872	277	40
873	277	40
874	278	39
875	278	39
876	278	39
877	278	38
878	278	38
879	279	38
880	279	37
881	279	37
882	279	37
883	280	36
884	280	36
885	280	36
886	280	35
887	281	35
888	281	35
889	281	34
890	281	34
891	282	34
892	282	33
893	282	33
894	282	33
895	282	32
896	283	32
897	283	32
898	283	31
899	283	31
900	284	31
901	284	30
902	284	30
903	284	30
904	285	29
905	285	29
906	285	29
907	285	28
908	286	28
909	286	28
910	286	27
911	287	27
912	287	27
913	287	27
914	287	26
915	288	26
916	288	26
917	288	25
918	288	25
919	289	25
920	289	24
921	289	24
922	289	24
923	290	23
924	290	23
925	290	23
926	291	22
927	291	22
928	291	22
929	291	21
930	291	21
931	292	21
932	292	20
933	292	20
934	292	20
935	293	20
936	293	19
937	293	19
938	294	19
939	294	18
940	294	18
941	294	18
942	295	17
943	295	17
944	295	17
945	295	16
946	296	16
947	296	16
948	296	15
949	296	15
950	297	15
951	297	14
952	297	14
953	297	14
954	298	14
955	298	13
956	298	13
957	298	13
958	298	12
959	299	12
960	299	12
961	299	11
962	299	11
963	300	11
964	300	10
965	300	10
966	300	10
967	301	9
968	301	9
969	301	9
970	301	9
971	301	8
972	302	8
973	302	8
974	302	7
975	302	7
976	303	7
977	303	6
978	303	6
979	304	6
980	304	5
981	304	5
982	304	5
983	305	4
984	305	4
985	305	4
986	305	4
987	305	3
988	306	3
989	306	3
990	306	2
991	306	2
992	307	2
993	307	1
994	307	1
995	308	1
996	308	0
997	308	0
998	308	0
999	309	0
